time (sec),intensity_fraction,initial_delay (frames),on_duration (frames),off_duration (frames),notes,use_maxwell,delta_t (sec)
1680654261.5304377,0.5,0,200000,4000,,True,22.648199558258057
1680654281.5451972,0.5,0,200000,4000,,True,20.01475954055786
1680654301.5570526,0.5,0,200000,4000,,True,20.011855363845825
1680654321.5690637,0.5,0,200000,4000,,True,20.01201105117798
1680654341.5814188,0.5,0,200000,4000,,True,20.012355089187622
1680654361.5937047,0.5,0,200000,4000,,True,20.012285947799683
1680654381.6072502,0.5,0,200000,4000,,True,20.013545513153076
1680654401.6172109,0.5,0,200000,4000,,True,20.009960651397705
1680654421.6368647,0.5,0,200000,4000,,True,20.019653797149658
1680654441.6496267,0.5,0,200000,4000,,True,20.01276206970215
1680654461.6613288,0.5,0,200000,4000,,True,20.011702060699463
1680654481.6690407,0.5,0,200000,4000,,True,20.00771188735962
1680654501.6847608,0.5,0,200000,4000,,True,20.01572012901306
1680654521.700892,0.5,0,200000,4000,,True,20.016131162643433
1680654541.7129922,0.5,0,200000,4000,,True,20.012100219726562
